candidate_action,certificate_valid,condition_number,cos_candidate_goal,cos_center_goal,cos_exec_goal,cos_kappa_goal,distance_to_station,distance_to_task,energy_margin,environment_step,episode_id,episode_step,executed_action,fallback_reason,generator_available,kappa_action,minimum_distance_to_task_so_far,mission_phase,recovery_energy_required,sigma_min,zonotope_G,zonotope_center,zonotope_volume
"[0.0011244253851328925, 0.07881920728329093, 0.0022607490478456396]",1,2.24755859375,0.9994872877699413,1.0,0.9994872877699413,0.0,2.7500229406914896,0.7984236174513106,2.1686691525904283,1,0,1,"[0.0011244253851328925, 0.07881920728329093, 0.0022607490478456396]",,1,"[-0.07999999821186066, 0.0, 0.0]",0.7984236174513106,OUTBOUND,3.330830847409572,0.004000000189989805,"[[0.008990234695374966, 0.0, 0.0], [0.0, 0.008990234695374966, 0.0], [0.0, 0.0, 0.004000000189989805]]","[0.0, 0.07999999821186066, 0.0]",2.58637828665087e-06
"[0.0005999456613724917, 0.07596274867899175, 0.0007082481960805608]",1,2.241915225982666,0.9999246026115233,0.9999561650571427,0.9999246026115233,-0.2823179073449406,2.750086566956142,0.7937516107044129,2.156458354804811,2,0,2,"[0.0005999456613724917, 0.07596274867899175, 0.0007082481960805608]",,1,"[-0.08033733069896698, -0.023645762354135513, -0.0006782247219234705]",0.7937516107044129,OUTBOUND,3.3310354263524333,0.004000000189989805,"[[0.008967661298811436, 0.0, 0.0], [0.0, 0.008967661298811436, 0.0], [0.0, 0.0, 0.004000000189989805]]","[-0.00033732762676663697, 0.0803542360663414, -0.0006782247219234705]",2.573406391093158e-06
"[0.007116564924022085, 0.08818525585167146, -0.0034080624472232826]",1,2.225111246109009,0.99602003325873,0.9999069537133092,0.99602003325873,-0.9997351794818459,2.7503274530848305,0.7857966885871979,2.130614578652371,3,0,3,"[0.007116564924022085, 0.08818525585167146, -0.0034080624472232826]",,1,"[-0.0005622883327305317, -0.04958735406398773, -0.0009811291238293052]",0.7857966885871979,OUTBOUND,3.344856990427793,0.004000000189989805,"[[0.008900444954633713, 0.0, 0.0], [0.0, 0.008900444954633713, 0.0], [0.0, 0.0, 0.004000000189989805]]","[-0.0005622883327305317, 0.08161264657974243, -0.0009811291238293052]",2.534973646106664e-06
"[-0.010260238663317326, 0.07450132196166019, 8.773958692359293e-05]",1,2.197521924972534,0.9906989677175616,0.9994057062414168,0.9906989677175616,-0.9993985765592068,2.750556601839739,0.7745880408367231,1.9959474223586318,4,0,4,"[-0.010260238663317326, 0.07450132196166019, 8.773958692359293e-05]",,1,"[-0.002766232704743743, -0.080634206533432, -7.747029303573072e-05]",0.7745880408367231,OUTBOUND,3.4674844127569457,0.004000000189989805,"[[0.008790087886154652, 0.0, 0.0], [0.0, 0.008790087886154652, 0.0], [0.0, 0.0, 0.004000000189989805]]","[-0.002766232704743743, 0.0793657898902893, -7.747029303573072e-05]",2.472500682415557e-06
"[-0.008517221861471249, 0.07903614549984897, -0.0034747616549358285]",1,2.159763813018799,0.9933660288247175,0.9999996562727912,0.9933660288247175,-0.9999985176943417,2.750498491683222,0.7603084663571237,1.9563409005403631,5,0,5,"[-0.008517221861471249, 0.07903614549984897, -0.0034747616549358285]",,1,"[-4.17984883824829e-05, -0.07910329848527908, -8.622955647297204e-05]",0.7603084663571237,OUTBOUND,3.495034829405447,0.004000000189989805,"[[0.00863905530422926, 0.0, 0.0], [0.0, 0.00863905530422926, 0.0], [0.0, 0.0, 0.004000000189989805]]","[-4.17984883824829e-05, 0.08089670538902283, -8.622955647297204e-05]",2.3882648747530766e-06
"[-0.0027069165762421796, 0.0770938295263632, -0.00025437876691992403]",1,2.112679958343506,0.9993888893315453,0.999418954910719,0.9993888893315453,-0.9994021976816346,2.7503531453693637,0.7429064071016243,1.9030134166434975,6,0,6,"[-0.0027069165762421796, 0.0770938295263632, -0.00025437876691992403]",,1,"[0.0025701401755213737, -0.07871288061141968, 0.0009702519746497273]",0.7429064071016243,OUTBOUND,3.5362921341405635,0.004000000189989805,"[[0.008450720459222794, 0.0, 0.0], [0.0, 0.008450720459222794, 0.0], [0.0, 0.0, 0.004000000189989805]]","[0.0025701401755213737, 0.08128712326288223, 0.0009702519746497273]",2.2852698293718277e-06
"[0.006987916599100587, 0.08870840225144194, 0.0006882832337251536]",1,2.0573225021362305,0.9969077290466136,0.9988570258236259,0.9969077290466136,-0.9986833536172501,2.750495386447864,0.7221885412604685,1.849588113469561,7,0,7,"[0.006987916599100587, 0.08870840225144194, 0.0006882832337251536]",,1,"[0.003779676044359803, -0.07770121842622757, 0.0011996091343462467]",0.7221885412604685,OUTBOUND,3.577629433005623,0.004000000189989805,"[[0.008229290135204792, 0.0, 0.0], [0.0, 0.008229290135204792, 0.0], [0.0, 0.0, 0.004000000189989805]]","[0.003779676044359803, 0.08229878544807434, 0.0011996091343462467]",2.1670789465133566e-06
"[0.009194297891840734, 0.07529964613924245, 0.0025071990401687176]",1,1.9949277639389038,0.9921966974216221,0.999547513294333,0.9921966974216221,-0.9994947678943126,2.7512365829167895,0.6981903501778964,1.7824768369551816,8,0,8,"[0.009194297891840734, 0.07529964613924245, 0.0025071990401687176]",,1,"[0.002189038787037134, -0.08005768060684204, 0.0011563427979126573]",0.6981903501778964,OUTBOUND,3.6326347265514665,0.004000000189989805,"[[0.007979711517691612, 0.0, 0.0], [0.0, 0.007979711517691612, 0.0], [0.0, 0.0, 0.004000000189989805]]","[0.002189038787037134, 0.07994232326745987, 0.0011563427979126573]",2.037625563389156e-06
"[0.005190870334842754, 0.0819826307135987, -0.001985148334613147]",1,1.9268898963928223,0.997758212563367,0.9999673663671981,0.997758212563367,-0.9999676631506228,2.7526198229234518,0.6710462947768441,1.7288908073074465,9,0,9,"[0.005190870334842754, 0.0819826307135987, -0.001985148334613147]",,1,"[-0.0003430295910220593, -0.07873984426259995, 0.0005398703506216407]",0.6710462947768441,OUTBOUND,3.674100724417654,0.004000000189989805,"[[0.00770755996927619, 0.0, 0.0], [0.0, 0.00770755996927619, 0.0], [0.0, 0.0, 0.004000000189989805]]","[-0.0003430295910220593, 0.08126015216112137, 0.0005398703506216407]",1.9010075220649014e-06
"[-0.007433260253590331, 0.07758410764067765, 0.0020376303247428926]",1,1.8547284603118896,0.9950584461597268,0.9995680260337949,0.9950584461597268,-0.9995661678606291,2.7544078524582356,0.6407110077176956,1.6888314507034523,10,0,10,"[-0.007433260253590331, 0.07758410764067765, 0.0020376303247428926]",,1,"[-0.002041841624304652, -0.0792388990521431, 0.0011708141537383199]",0.6407110077176956,OUTBOUND,3.702024922921097,0.004000000189989805,"[[0.00741891423240304, 0.0, 0.0], [0.0, 0.00741891423240304, 0.0], [0.0, 0.0, 0.004000000189989805]]","[-0.002041841624304652, 0.08076109737157822, 0.0011708141537383199]",1.761289354362816e-06
"[-0.005612320343266686, 0.08003427332231387, 4.275868263293461e-05]",1,1.7800555229187012,0.9975282375414093,0.9999686101338535,0.9975282375414093,-0.9999554439527912,2.756486962596884,0.6072234480921421,1.6351015595580942,11,0,11,"[-0.005612320343266686, 0.08003427332231387, 4.275868263293461e-05]",,1,"[-0.00016104929090943187, -0.07849770039319992, 0.0006743303965777159]",0.6072234480921421,OUTBOUND,3.743602497574661,0.004000000189989805,"[[0.007120222318917513, 0.0, 0.0], [0.0, 0.007120222318917513, 0.0], [0.0, 0.0, 0.004000000189989805]]","[-0.00016104929090943187, 0.08150230348110199, 0.0006743303965777159]",1.6223222019107197e-06
"[0.004836422938467359, 0.08304659378406785, 0.0020593296508816094]",1,1.7045390605926514,0.9980467631887816,0.9998154215384156,0.9980467631887816,-0.9997693879069336,2.759224930560132,0.5704742610821993,1.581306438039344,12,0,12,"[0.004836422938467359, 0.08304659378406785, 0.0020593296508816094]",,1,"[0.00147079152520746, -0.07839491218328476, 0.0006948028458282351]",0.5704742610821993,OUTBOUND,3.7852313216723843,0.004000000189989805,"[[0.006818156689405441, 0.0, 0.0], [0.0, 0.006818156689405441, 0.0], [0.0, 0.0, 0.004000000189989805]]","[0.00147079152520746, 0.08160508424043655, 0.0006948028458282351]",1.4875923852741835e-06
